Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class,Apparent Magnitude (m)
3068.0,0.0024,0.17,16.12,Red Dwarf,Red,M,14.989221916516609
3042.0,0.0005,0.1542,16.6,Red Dwarf,Red,M,14.606542871928987
2600.0,0.0003,0.102,18.7,Red Dwarf,Red,M,17.013105864575472
2800.0,0.0002,0.16,16.65,Red Dwarf,Red,M,14.420196858551524
1939.0,0.000138,0.103,20.06,Red Dwarf,Red,M,19.283354158128137
2840.0,0.00065,0.11,16.98,Red Dwarf,Red,M,15.069599323561501
,0.00073,0.127,17.22,,,M,14.910133364556158
2600.0,0.0004,0.096,17.4,Red Dwarf,Red,M,14.368627791476925
2650.0,0.00069,0.11,17.45,Red Dwarf,Red,M,16.698176682498875
,0.00018,0.13,16.05,,,M,13.539314266998717
3600.0,0.0029,0.51,10.69,Brown Dwarf,Red,M,7.951560487132134
3129.0,0.0122,0.3761,11.79,Brown Dwarf,Red,M,11.948806238915449
3134.0,0.0004,0.196,13.21,Brown Dwarf,Red,M,10.877379261405714
3628.0,0.0055,0.393,10.48,Brown Dwarf,Red,M,9.823015961813327
2650.0,0.0006,0.14,11.782,Brown Dwarf,Red,M,9.636485093505764
,0.0038,0.24,13.07,,,M,10.572609757034318
2799.0,0.0018,0.16,14.79,Brown Dwarf,Red,M,12.814261940334719
3692.0,0.00367,0.47,10.8,Brown Dwarf,Red,M,8.448546937880144
3192.0,0.00362,0.1967,13.53,Brown Dwarf,Red,M,10.399418195945222
,0.039,0.351,11.18,,,M,8.768776130373102
25000.0,0.056,0.0084,10.58,White Dwarf,Blue White,B,9.412021838315772
7740.0,0.00049,0.01234,14.02,White Dwarf,White,A,12.66061134205476
7220.0,0.00017,0.011,14.23,White Dwarf,White,F,11.892165471305614
8500.0,0.0005,0.01,14.5,White Dwarf,White,A,11.734030304924442
,0.013,0.014,11.89,,,B,9.664466722385434
12990.0,8.5e-05,0.00984,12.23,White Dwarf,Yellowish White,F,8.782361436622892
8570.0,0.00081,0.0097,14.2,White Dwarf,Blue white,A,12.508910666162457
7700.0,0.00011,0.0128,14.47,White Dwarf,Yellowish White,F,12.390648150378562
11790.0,0.00015,0.011,12.59,White Dwarf,Yellowish White,F,9.649322247388213
7230.0,8e-05,0.013,14.08,White Dwarf,Pale yellow orange,F,11.155862856010533
,204000.0,10.6,-4.7,,,O,-6.629926761915031
30000.0,28840.0,6.3,-4.2,Main Sequence,Blue-white,B,-5.288426046580406
15276.0,1136.0,7.2,-1.97,Main Sequence,Blue-white,B,-4.585156012755445
9700.0,74.0,2.89,0.16,Main Sequence,Whitish,B,-2.1888149265604557
5800.0,0.81,0.9,5.05,Main Sequence,yellow-white,F,2.5749097999182364
8052.0,8.7,1.8,2.42,Main Sequence,Whitish,A,0.22682907811369635
6757.0,1.43,1.12,2.41,Main Sequence,yellow-white,F,1.4844934072366733
6380.0,1.35,0.98,2.93,Main Sequence,yellow-white,F,0.6244804662353509
5936.0,1.357,1.106,4.46,Main Sequence,yellow-white,F,1.2877987959314687
5587.0,0.819,0.99,5.03,Main Sequence,yellow-white,F,3.5960218029772086
3826.0,200000.0,19.0,-6.93,SuperGiants,Red,M,-9.446963899137218
3365.0,340000.0,23.0,-6.2,SuperGiants,Red,M,-8.942598086922136
3270.0,150000.0,88.0,-6.02,SuperGiants,Red,M,-7.2321729765891485
3200.0,195000.0,17.0,-7.22,SuperGiants,Red,M,-10.367524696044221
3008.0,280000.0,25.0,-6.0,SuperGiants,Red,M,-7.612979751011366
,320000.0,29.0,-6.6,,,M,-7.599190357467803
3575.0,123000.0,45.0,-6.78,SuperGiants,Red,M,-9.523372769363263
3574.0,200000.0,89.0,-5.24,SuperGiants,Red,M,-7.076505398166397
3625.0,184000.0,84.0,-6.74,SuperGiants,Red,M,-9.297573792614134
33750.0,220000.0,26.0,-6.1,SuperGiants,Blue,B,-7.67451181494612
3490.0,270000.0,1520.0,-9.4,HyperGiants,Red,M,-12.260508353162992
3750.0,283000.0,1260.0,-7.63,HyperGiants,Red,M,-8.975727478272752
3834.0,272000.0,1183.0,-9.2,HyperGiants,Red,M,-11.845370715804673
3749.0,550000.0,1648.0,-8.05,HyperGiants,Orange,M,-9.244806240591208
3650.0,310000.0,1324.0,-7.79,HyperGiants,Red,M,-9.60087702388568
3450.0,263000.0,1349.0,-11.75,HyperGiants,Red,M,-14.309340892008176
3660.0,363000.0,1673.0,-11.92,HyperGiants,Red,M,-15.086349086962299
3450.0,174000.0,1284.0,-11.28,HyperGiants,Red,M,-13.723980852467825
3752.0,209000.0,955.0,-11.24,HyperGiants,Red,M,-11.483439783755136
3535.0,195000.0,1546.0,-11.36,HyperGiants,Red,M,-12.961361456520724
3341.0,0.0056,0.057,16.23,Red Dwarf,Red,M,15.032071002016837
3432.0,0.00067,0.19,16.94,Red Dwarf,Red,M,14.35768849683833
2983.0,0.00024,0.094,16.09,Red Dwarf,Red,M,14.151294498864026
2835.0,0.00034,0.0918,16.96,Red Dwarf,Red,M,14.778947160464831
2935.0,0.00014,0.116,18.89,Red Dwarf,Red,M,16.463372369161284
3295.0,0.00098,0.132,17.13,Red Dwarf,Red,M,17.28629871985472
2945.0,0.00032,0.093,18.34,Red Dwarf,Red,M,16.341945676641476
2817.0,0.00098,0.0911,16.45,Red Dwarf,Red,M,13.054400293545456
2774.0,0.00036,0.118,17.39,Red Dwarf,Red,M,15.27890700082057
2871.0,0.00072,0.12,19.43,Red Dwarf,Red,M,16.956247290399936
3345.0,0.021,0.273,12.3,Brown Dwarf,Red,M,9.77940765121545
3607.0,0.022,0.38,10.12,Brown Dwarf,Red,M,6.968038563707635
3304.0,0.0085,0.18,13.2,Brown Dwarf,Red,M,11.193923609858377
3150.0,0.0088,0.35,11.94,Brown Dwarf,Red,M,9.577969071997401
3550.0,0.004,0.291,10.89,Brown Dwarf,Red,M,8.473879805777297
3180.0,0.001,0.35,11.76,Brown Dwarf,Red,M,10.58792227647402
2890.0,0.0034,0.24,13.46,Brown Dwarf,Red,M,11.851813332841795
3342.0,0.0015,0.307,11.87,Brown Dwarf,Red,M,9.59802460836371
2621.0,0.0006,0.098,12.81,Brown Dwarf,Red,M,9.61983629458297
3158.0,0.00135,0.161,13.98,Brown Dwarf,Red,M,11.65219195256928
7100.0,0.00029,0.012,14.09,White Dwarf,White-Yellow,F,10.704647246263573
10574.0,0.00014,0.0092,12.02,White Dwarf,White,F,10.923731326003649
8930.0,0.00056,0.0095,13.78,White Dwarf,white,A,11.97588438220752
17200.0,0.00098,0.015,12.45,White Dwarf,Blue White,B,9.834184632879257
14100.0,0.00067,0.0089,12.17,White Dwarf,Blue White,B,10.152757639909895
9675.0,0.00045,0.0109,13.98,White Dwarf,Blue White,A,11.030383639033872
,0.00078,0.0092,12.13,,,B,9.076831278543848
10980.0,0.00074,0.0087,11.19,White Dwarf,Blue White,B,8.93966248395807
13720.0,0.00018,0.00892,12.97,White Dwarf,white,F,11.070695180335026
19860.0,0.0011,0.0131,11.34,White Dwarf,Blue ,B,8.35101263260906
5300.0,0.59,0.91,5.49,Main Sequence,yellow-white,F,2.408060480990489
4526.0,0.153,0.865,6.506,Main Sequence,yellowish,K,3.789469055940854
4077.0,0.085,0.795,6.228,Main Sequence,yellowish,K,3.8009106063864424
,0.357,1.13,4.78,,,K,2.0975595866364865
9030.0,45.0,2.63,1.45,Main Sequence,Blue-white,A,-1.1669450643315038
11250.0,672.0,6.98,-2.3,Main Sequence,Blue-white,A,-4.2426179773405135
5112.0,0.63,0.876,4.68,Main Sequence,Orange-Red,K,1.8375429039791964
7720.0,7.92,1.34,2.44,Main Sequence,yellow-white,F,-0.5324196166531134
12098.0,689.0,7.01,0.02,Main Sequence,Blue-white,A,-0.6110136228999226
36108.0,198000.0,10.2,-4.4,Main Sequence,Blue,O,-6.93916774352658
33300.0,240000.0,12.0,-6.5,SuperGiants,Blue,B,-9.972262007637203
40000.0,813000.0,14.0,-6.23,SuperGiants,Blue,O,-8.154882154768206
23000.0,127000.0,36.0,-5.76,SuperGiants,Blue,O,-7.643669474895869
17120.0,235000.0,83.0,-6.89,SuperGiants,Blue,O,-9.402489141777725
,112000.0,12.0,-5.91,,,O,-7.58791361262924
14245.0,231000.0,42.0,-6.12,SuperGiants,Blue,O,-8.555022562039943
24630.0,363000.0,63.0,-5.83,SuperGiants,Blue,O,-8.324277397171635
12893.0,184000.0,36.0,-6.34,SuperGiants,Blue,O,-8.703310855948551
24345.0,142000.0,57.0,-6.24,SuperGiants,Blue,O,-8.905943341638896
,352000.0,67.0,-5.79,,,O,-6.995513720474199
3459.0,100000.0,1289.0,-10.7,HyperGiants,Red,M,-12.829540243224251
3605.0,126000.0,1124.0,-10.81,HyperGiants,Red,M,-14.385679508156539
3615.0,200000.0,1635.0,-11.33,HyperGiants,Red,M,-14.298675564719755
,117000.0,1486.0,-10.92,,,M,-13.422701696414267
,132000.0,1522.0,-10.86,,,M,-12.585848257858089
3553.0,145000.0,1324.0,-11.03,HyperGiants,Red,M,-13.957210930697082
4015.0,282000.0,1534.0,-11.39,HyperGiants,Red,K,-13.670303299668914
3625.0,74000.0,876.0,-10.25,HyperGiants,Red,M,-12.120524477270806
6850.0,229000.0,1467.0,-10.07,HyperGiants,Red,G,-12.240723697519362
3780.0,200000.0,1324.0,-10.7,HyperGiants,Red,M,-11.906907317810223
3323.0,0.00043,0.0912,17.16,Red Dwarf,Red,M,16.522904330147203
3531.0,0.00093,0.0976,19.94,Red Dwarf,Red,M,18.531032942093624
3218.0,0.00054,0.11,20.02,Red Dwarf,Red,M,19.70042822817181
3146.0,0.00015,0.0932,16.92,Red Dwarf,Red,M,14.507971830763411
3511.0,0.00064,0.109,17.12,Red Dwarf,Red,M,14.230882833099201
,0.00076,0.121,19.63,,,M,16.81515355923746
2935.0,0.00087,0.0932,16.88,Red Dwarf,Red,M,14.087351960677527
,0.00019,0.0899,16.71,,,M,14.587046582710608
2856.0,0.000896,0.0782,19.56,Red Dwarf,Red,M,17.139554953131572
2731.0,0.000437,0.0856,18.09,Red Dwarf,Red,M,15.31970201192355
3095.0,0.00019,0.492,10.87,Brown Dwarf,Red,M,8.476240451298604
3607.0,0.00023,0.38,10.34,Brown Dwarf,Red,M,7.920592921197193
3100.0,0.008,0.31,11.17,Brown Dwarf,Red,M,8.212338255855647
2989.0,0.0087,0.34,13.12,Brown Dwarf,Red,M,10.47900493792054
3542.0,0.0009,0.62,14.23,Brown Dwarf,Red,M,11.83839935478582
3243.0,0.0023,0.73,14.75,Brown Dwarf,Red,M,12.223086365924111
3091.0,0.0081,0.24,11.43,Brown Dwarf,Red,M,8.54848569415453
3598.0,0.0011,0.56,14.26,Brown Dwarf,Red,M,15.300170073676323
3324.0,0.0034,0.34,12.23,Brown Dwarf,Red,M,9.586239107124861
3541.0,0.0013,0.256,14.33,Brown Dwarf,Red,M,14.365807284396423
13420.0,0.00059,0.00981,13.67,White Dwarf,Blue White,B,12.275055960164504
21020.0,0.0015,0.0112,11.52,White Dwarf,Blue,B,8.797490471804842
18290.0,0.0013,0.00934,12.78,White Dwarf,Blue,B,11.341340313044762
,0.00082,0.00972,11.92,,,B,9.976006304637588
11900.0,0.00067,0.00898,11.38,White Dwarf,Blue white ,B,9.011396555380777
8924.0,0.00028,0.00879,14.87,White Dwarf,Blue white,A,12.555871392078558
12912.0,0.00071,0.00945,12.83,White Dwarf,Blue white,B,11.391665603766784
14732.0,0.00011,0.00892,12.89,White Dwarf,white,F,10.61276000944325
7723.0,0.00014,0.00878,14.81,White Dwarf,White,A,12.019427413499551
12984.0,0.00088,0.00996,11.23,White Dwarf,Blue White,B,11.470847766956638
29560.0,188000.0,6.02,-4.01,Main Sequence,Blue-white,B,-5.240291235161114
8945.0,38.0,2.487,0.12,Main Sequence,Blue-White,A,-1.4467763666344604
,1092.0,5.745,-2.04,,,A,-4.082807206024161
16390.0,1278.0,5.68,-3.32,Main Sequence,Blue-white,B,-5.815287987012709
25070.0,14500.0,5.92,-3.98,Main Sequence,Blue-white,B,-6.32075923080888
28700.0,16790.0,6.4,-4.09,Main Sequence,Blue-white,B,-5.184311941102712
26140.0,14520.0,5.49,-3.8,Main Sequence,Blue-white,B,-5.785252916638359
20120.0,4720.0,6.78,-3.4,Main Sequence,Blue-white,B,-5.907317748062695
13023.0,998.0,6.21,-1.38,Main Sequence,Blue-white,A,-4.467561046255843
37800.0,202900.0,6.86,-4.56,Main Sequence,Blue,O,-6.540519916679512
25390.0,223000.0,57.0,-5.92,SuperGiants,Blue,O,-6.533340270983128
11567.0,251000.0,36.0,-6.245,SuperGiants,Blue,O,-7.177669725133333
12675.0,452000.0,83.0,-5.62,SuperGiants,Blue,O,-8.198433200240277
5752.0,245000.0,97.0,-6.63,SuperGiants,Blue,O,-8.004484453888693
8927.0,239000.0,35.0,-7.34,SuperGiants,Blue,O,-9.890760987090168
7282.0,131000.0,24.0,-7.22,SuperGiants,Blue,O,-9.993028605240827
19923.0,152000.0,73.0,-5.69,SuperGiants,Blue,O,-8.683281321784847
26373.0,198000.0,39.0,-5.83,SuperGiants,Blue,O,-7.967167017947432
,342900.0,30.0,-6.09,,,O,-7.894123898948623
9373.0,424520.0,24.0,-5.99,SuperGiants,Blue,O,-8.131802304567415
3570.0,320000.0,1480.0,-7.58,HyperGiants,Red,M,-10.703369456221763
3500.0,138000.0,1420.0,-8.18,HyperGiants,Red,M,-8.268819248040645
,630000.0,1315.0,-9.2,,,K,-11.415087421959004
26000.0,316000.0,1679.0,-9.1,HyperGiants,Blue,B,-11.784594434600848
3600.0,240000.0,1190.0,-7.89,HyperGiants,Red,M,-9.095833356848908
3614.0,145000.0,1553.0,-7.71,HyperGiants,Red,M,-10.541110287986413
18000.0,200000.0,1045.0,-8.3,HyperGiants,Blue,O,-10.206194429333646
11000.0,170000.0,1779.0,-9.9,HyperGiants,Blue-white,B,-12.00634216209917
12100.0,120000.0,708.9,-7.84,HyperGiants,Blue-white,B,-11.373669181603164
24490.0,248490.0,1134.5,-8.24,HyperGiants,Blue-white,B,-8.294840299047785
2831.0,0.000231,0.0915,16.21,Red Dwarf,Red,M,13.525557668121602
2914.0,0.000631,0.116,18.39,Red Dwarf,Red,M,16.592984303068146
3419.0,0.000245,0.126,17.56,Red Dwarf,Red,M,16.95643870199033
3218.0,0.000452,0.0987,17.34,Red Dwarf,Red,M,14.848032539578714
3453.0,0.000621,0.0773,17.08,Red Dwarf,Red,M,15.319902272517222
,0.000352,0.0973,16.93,,,M,17.357446343094956
2968.0,0.000461,0.119,17.45,Red Dwarf,Red,M,14.422651359669931
3484.0,0.000551,0.0998,16.67,Red Dwarf,Red,M,14.021386921818296
2778.0,0.000849,0.112,19.45,Red Dwarf,Red,M,17.890570794567775
3523.0,0.000957,0.129,16.35,Red Dwarf,Red,M,13.196445564810134
3462.0,0.0053,0.148,11.47,Brown Dwarf,Red,M,9.208868670109556
3257.0,0.0024,0.46,10.73,Brown Dwarf,Red,M,8.17514638970572
2994.0,0.0072,0.28,13.45,Brown Dwarf,Red,M,10.796495366296938
3212.0,0.0016,0.378,12.854,Brown Dwarf,Red,M,12.661932348016183
3523.0,0.0054,0.319,12.43,Brown Dwarf,Red,M,11.489246403730125
3598.0,0.0027,0.67,13.667,Brown Dwarf,Red,M,12.968061219828513
3142.0,0.00132,0.258,14.12,Brown Dwarf,Red,M,11.270850967204318
3496.0,0.00125,0.336,14.94,Brown Dwarf,Red,M,14.202629913315057
3324.0,0.0065,0.471,12.78,Brown Dwarf,Red,M,10.1350771004514
3463.0,0.0027,0.675,14.776,Brown Dwarf,Red,M,12.375979713636447
16790.0,0.0014,0.0121,12.87,White Dwarf,Blue,B,10.684705658717837
15680.0,0.00122,0.0114,11.92,White Dwarf,Blue,B,9.56844336106711
14982.0,0.00118,0.0113,12.23,White Dwarf,Blue,B,11.002820886806724
13340.0,0.00109,0.0116,12.9,White Dwarf,Blue,B,11.416497519483489
18340.0,0.00134,0.0124,11.22,White Dwarf,Blue,B,9.316189106724334
19920.0,0.00156,0.0142,11.34,White Dwarf,Blue,B,9.491869004484485
,0.00159,0.0127,10.55,,,B,8.521256552092751
23092.0,0.00132,0.0104,10.18,White Dwarf,Blue,B,7.974151622002828
17920.0,0.00111,0.0106,11.66,White Dwarf,Blue,B,9.605958887798904
19360.0,0.00125,0.00998,11.62,White Dwarf,Blue,B,9.508047849507061
22350.0,12450.0,6.36,-3.67,Main Sequence,Blue-white,B,-6.386301939266584
10012.0,552.0,5.856,0.013,Main Sequence,Blue-white,A,-3.7106702782808334
13089.0,788.0,5.992,-0.12,Main Sequence,Blue-white,A,-2.790576410163995
22012.0,6748.0,6.64,-2.55,Main Sequence,Blue-white,B,-5.171222520171848
34190.0,198200.0,6.39,-4.57,Main Sequence,Blue,O,-7.6860620963895485
32460.0,173800.0,6.237,-4.36,Main Sequence,Blue,O,-6.034979743323569
9320.0,29.0,1.91,1.236,Main Sequence,Blue-white,A,-2.3044329163757498
19400.0,10920.0,6.03,-3.08,Main Sequence,Blue-white,B,-5.134026694198168
17140.0,883.0,5.653,-2.64,Main Sequence,Blue-white,B,-4.8720983060983105
8250.0,9.25,1.93,-0.98,Main Sequence,yellow-white,F,-3.0577245214624647
23678.0,244290.0,35.0,-6.27,SuperGiants,Blue,O,-5.9468737042413755
12749.0,332520.0,76.0,-7.02,SuperGiants,Blue,O,-10.115799783220616
9383.0,342940.0,98.0,-6.98,SuperGiants,Blue,O,-9.158108772682818
23440.0,537430.0,81.0,-5.975,SuperGiants,Blue,O,-8.45132124660483
16787.0,246730.0,62.0,-6.35,SuperGiants,Blue,O,-8.731153780931475
18734.0,224780.0,46.0,-7.45,SuperGiants,Blue,O,-7.041039527980209
9892.0,593900.0,80.0,-7.262,SuperGiants,Blue,O,-9.008566097361548
10930.0,783930.0,25.0,-6.224,SuperGiants,Blue,O,-9.191864599183011
23095.0,347820.0,86.0,-5.905,SuperGiants,Blue,O,-8.358923790900477
21738.0,748890.0,92.0,-7.346,SuperGiants,Blue,O,-10.392099903495431
,382993.0,1494.0,-8.84,,,B,-10.191435548441712
38234.0,272830.0,1356.0,-9.29,HyperGiants,Blue,O,-11.31010469162902
32489.0,648430.0,1948.5,-10.84,HyperGiants,Blue,O,-13.573019046527852
,849420.0,1252.0,-7.59,,,B,-10.451331901895259
21904.0,748490.0,1130.0,-7.67,HyperGiants,Blue-white,B,-10.84052886422338
,374830.0,1356.0,-9.93,,,O,-13.375311320196165
30839.0,834042.0,1194.0,-10.63,HyperGiants,Blue,O,-13.548282592704242
8829.0,537493.0,1423.0,-10.73,HyperGiants,White,A,-12.620783094684406
9235.0,404940.0,1112.0,-11.23,HyperGiants,White,A,-12.708767701525165
37882.0,294903.0,1783.0,-7.8,HyperGiants,Blue,O,-7.668508365330918
8945.0,38.0,2.487,0.12,Main Sequence,Blue-White,A,-2.443426030651242
3553.0,145000.0,1324.0,-11.03,HyperGiants,Red,M,-14.3116687519545
,630000.0,1315.0,-9.2,,,K,-11.342530293290546
22012.0,6748.0,6.64,-2.55,Main Sequence,Blue-white,B,-5.577290539173966
18340.0,0.00134,0.0124,11.22,White Dwarf,Blue,B,8.63945640486801
37800.0,202900.0,6.86,-4.56,Main Sequence,Blue,O,-5.528051063219881
3257.0,0.0024,0.46,10.73,Brown Dwarf,Red,M,10.147131208778308
3600.0,240000.0,1190.0,-7.89,HyperGiants,Red,M,-11.23478462114426
3134.0,0.0004,0.196,13.21,Brown Dwarf,Red,M,10.505117692610545
8927.0,239000.0,35.0,-7.34,SuperGiants,Blue,O,-9.506359810005502
19920.0,0.00156,0.0142,11.34,White Dwarf,Blue,B,8.35951690583273
3607.0,0.00023,0.38,10.34,Brown Dwarf,Red,M,8.829508224872482
